"ID","woman","Alder","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","score9","score10"
"A 1",1,43,1,2,1,2,0,1,1,0,2,2,10,12
"A 10",0,60,1,3,1,3,0,0,0,0,3,3,11,14
"A 100",0,69,1,0,0,0,0,0,1,0,3,1,3,6
"A 101",1,66,0,0,0,1,0,0,1,0,2,3,5,7
"A 102",0,72,1,2,0,2,0,0,3,0,1,3,11,12
"A 103",1,61,0,0,0,1,0,0,1,0,3,0,2,5
"A 104",0,70,2,3,1,1,0,1,2,1,3,0,11,14
"A 105",1,65,1,3,1,3,2,1,2,1,1,1,15,16
"A 11",1,46,2,1,2,1,0,1,2,2,1,2,13,14
"A 12",1,65,2,1,1,3,3,1,2,1,2,2,16,18
"A 13",0,75,1,3,0,1,0,0,1,1,3,2,9,12
"A 14",0,79,2,1,1,3,0,0,1,1,3,2,11,14
"A 15",0,79,0,0,0,1,0,1,2,1,2,3,8,10
"A 16",0,72,0,0,0,1,0,0,1,0,3,3,5,8
"A 17",0,70,2,3,0,2,0,1,1,0,2,3,12,14
"A 18",0,69,1,1,0,1,0,0,0,1,2,1,5,7
"A 19",1,63,2,3,0,2,1,1,1,1,2,2,13,15
"A 2",0,71,1,2,0,0,0,0,1,1,3,3,8,11
"A 20",1,61,0,1,1,3,1,1,2,0,1,3,12,13
"A 21",1,67,2,2,1,1,2,0,3,1,1,2,14,15
"A 22",0,68,3,2,1,2,0,1,1,1,2,2,13,15
"A 23",0,72,1,0,0,1,0,0,1,1,3,3,7,10
"A 24",1,72,0,0,0,0,0,0,0,0,3,1,1,4
"A 25",1,80,0,1,0,2,1,0,2,0,1,2,8,9
"A 26",0,59,2,3,1,3,0,1,3,2,2,3,18,20
"A 27",1,85,2,2,2,3,2,2,2,2,3,3,20,23
"A 28",0,69,1,0,1,2,0,0,1,0,2,1,6,8
"A 3",0,72,1,1,1,1,0,0,1,1,1,2,8,9
"A 30",1,83,2,3,1,3,1,1,2,0,2,3,16,18
"A 32",1,53,2,1,0,1,0,0,1,1,2,3,9,11
"A 34",1,67,1,1,0,0,0,0,2,0,3,3,7,10
"A 35",0,78,0,1,0,0,0,0,0,0,0,0,1,1
"A 36",1,70,2,3,1,3,0,1,2,1,3,3,16,19
"A 37",0,73,0,2,1,1,0,0,1,0,1,2,7,8
"A 38",1,77,1,1,0,2,0,0,1,0,0,2,7,7
"A 39",1,59,2,1,1,2,2,1,2,3,2,3,17,19
"A 4",1,67,0,2,0,1,0,1,2,0,1,3,9,10
"A 40",1,72,1,3,0,1,0,0,2,0,2,2,9,11
"A 41",0,59,1,2,0,0,0,1,1,0,1,2,7,8
"A 42",1,76,2,2,1,2,1,1,1,1,2,2,13,15
"A 43",0,83,0,0,0,0,0,0,1,0,0,1,2,2
"A 44",1,85,1,1,0,1,0,0,1,0,1,1,5,6
"A 45",1,50,1,1,0,1,0,0,1,0,3,2,6,9
"A 46",0,73,2,1,0,0,0,2,3,0,2,2,10,12
"A 47",0,86,0,0,0,1,0,1,1,2,3,3,8,11
"A 48",0,68,0,2,0,2,0,0,0,0,2,2,6,8
"A 49",0,74,1,1,1,2,0,0,1,1,1,1,8,9
"A 51",1,62,1,2,1,3,0,1,3,1,3,3,15,18
"A 52",1,69,2,3,0,2,0,0,2,1,2,3,13,15
"A 53",1,84,2,1,1,3,0,0,3,0,2,2,12,14
"A 54",0,59,1,1,0,2,0,0,0,0,2,2,6,8
"A 55",0,77,1,0,0,1,0,0,1,0,2,2,5,7
"A 56",1,69,1,2,2,2,2,2,2,2,2,2,17,19
"A 57",1,81,0,0,0,1,1,0,0,0,1,0,2,3
"A 58",1,51,1,1,0,0,0,0,2,0,2,2,6,8
"A 59",1,73,0,0,2,2,3,0,3,1,2,1,12,14
"A 6",0,62,0,1,0,2,0,0,2,1,2,1,7,9
"A 60",0,69,3,3,3,3,3,3,3,3,3,3,27,30
"A 61",0,59,1,1,0,1,0,0,1,0,3,2,6,9
"A 62",0,82,1,0,0,1,0,0,1,0,1,1,4,5
"A 63",1,59,2,1,1,3,1,2,2,1,1,2,15,16
"A 64",0,80,1,0,0,0,0,0,1,0,3,1,3,6
"A 65",0,68,0,0,1,2,0,1,1,1,3,2,8,11
"A 66",0,84,1,1,1,2,1,0,1,0,2,2,9,11
"A 67",1,74,0,2,0,1,0,0,1,0,1,2,6,7
"A 68",0,79,0,2,0,1,0,0,1,0,2,2,6,8
"A 69",1,48,2,0,0,0,0,0,0,1,3,3,6,9
"A 7",0,60,1,2,0,2,0,0,1,0,1,2,8,9
"A 70",1,60,2,2,1,2,1,1,2,1,2,2,14,16
"A 71",0,74,3,2,1,2,0,0,1,0,1,2,11,12
"A 72",1,52,3,1,1,0,0,1,0,1,1,1,8,9
"A 73",0,64,1,0,0,1,0,0,1,0,3,2,5,8
"A 74",1,54,1,3,0,0,0,0,2,0,3,3,9,12
